,displayName,description,abbreviation,value,perGameValue,rank,teamName
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,61.211,18.007999420166016,4.0,Raiders
2,Extra Point Attempts,The number of extra point attempts.,XPA,36.0,2.0,3.0,Raiders
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,97.222,92.15699768066406,2.0,Raiders
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1.0,Raiders
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1.0,Raiders
6,Extra Points Made,The number of extra point attempts made.,XPM,35.0,2.0,3.0,Raiders
7,Fair Catches,The number of fair catches.,FC,0.0,,1.0,Raiders
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,11.640999794006348,1.0,Raiders
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,37.0,2.0,1.0,Raiders
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2.0,Raiders
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,9.0,,2.0,Raiders
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,11.0,,2.0,Raiders
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,4.0,,4.0,Raiders
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,13.0,,1.0,Raiders
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,3.0,Raiders
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,13.0,,2.0,Raiders
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1477.0,86.0,2.0,Raiders
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,91.892,82.84400177001953,2.0,Raiders
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,1.0,,2.0,Raiders
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,2.703,1.9609999656677246,2.0,Raiders
21,Field Goal Made,The number of times a field goal is made.,FGM,34.0,2.0,1.0,Raiders
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2.0,Raiders
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,9.0,,2.0,Raiders
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,11.0,,2.0,Raiders
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,3.0,,4.0,Raiders
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,11.0,,1.0,Raiders
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,2.0,Raiders
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,11.0,,1.0,Raiders
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1323.0,77.0,1.0,Raiders
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,154.0,9.0,3.0,Raiders
31,Kickoff Returns,The number of times a kickoff was returned.,KR,33.0,1.0,2.0,Raiders
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1.0,Raiders
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,668.0,39.0,3.0,Raiders
34,Kickoffs,The number of kickoffs taken.,K,90.0,5.0,2.0,Raiders
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5509.0,101.0,2.0,Raiders
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,57.0,,3.0,Raiders
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,57.0,42.0,2.0,Raiders
38,Long Kickoff,The distance of the longest kickoff.,LK,71.0,47.0,2.0,Raiders
39,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Raiders
40,Total Kicking Points,The number of total points earned kicking.,PTS,137.0,8.0,1.0,Raiders
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,63.333,64.93099975585938,4.0,Raiders
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,57.0,3.0,3.0,Raiders
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1.0,Raiders
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1.0,Raiders
2,Fumble Recoveries,The number of fumble recoveries.,FR,7.0,,23.0,Raiders
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,123.0,,1.0,Raiders
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1.0,Raiders
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1.0,Raiders
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1.0,Raiders
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1.0,Raiders
8,Kick Returns,The number of kick returns.,ATT,32.0,1.0,13.0,Raiders
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6.0,Raiders
10,Kick Return Yards,The total yardage of kick returns.,YDS,668.0,39.0,16.0,Raiders
11,Long Kick Return,The longest kick return in yards.,LNG,33.0,18.0,28.0,Raiders
12,Long Punt Return,The longest punt return in yards.,LNG,17.0,6.0,31.0,Raiders
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1.0,Raiders
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1.0,Raiders
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,4.0,,32.0,Raiders
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,70.0,,6.0,Raiders
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1.0,Raiders
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1.0,Raiders
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,12.0,,29.0,Raiders
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,44.444,,26.0,Raiders
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1.0,Raiders
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1.0,Raiders
23,Punt Returns,The number of punt returns.,ATT,27.0,1.0,21.0,Raiders
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1.0,Raiders
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1.0,Raiders
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,4.0,Raiders
27,Punt Return Yards,The total yardage of punt returns.,YDS,156.0,9.0,30.0,Raiders
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1.0,Raiders
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1.0,Raiders
30,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Raiders
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,20.875,15.701000213623047,26.0,Raiders
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,5.778,4.460999965667725,32.0,Raiders
33,Yards Per Return,The average number of yards per return.,YDS/R,13.966,,27.0,Raiders
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,10.96,5.056000232696533,4.0,Raiders
1,Fair Catches,The number of fair catches.,FC,16.0,,20.0,Raiders
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,48.881,49.220001220703125,4.0,Raiders
3,Long Punt,The distance of the longest punt.,LNG,67.0,57.0,20.0,Raiders
4,Net Average Punt Yards,The average net number of yards per punt.,NET,44.237,44.93899917602539,7.0,Raiders
5,Punt Returns,The number of times a punt was returned.,ATT,25.0,1.0,22.0,Raiders
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,274.0,16.0,14.0,Raiders
7,Punts,The number of punts taken.,PUNTS,59.0,3.0,24.0,Raiders
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,11.0,Raiders
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,11.0,Raiders
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,11.0,,7.0,Raiders
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,18.644,,5.0,Raiders
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,26.0,1.0,14.0,Raiders
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,44.068,44.0,7.0,Raiders
14,Punt Yards,The total amount of yardage of punts.,YDS,2884.0,169.0,21.0,Raiders
15,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Raiders
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,1.695,1.4709999561309814,31.0,Raiders
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,1.0,,30.0,Raiders
0,Defensive Points,The number of points scored on defense.,DP,0.0,4.0,11.0,Raiders
1,Field Goals,The number of field goals made.,FG,34.0,2.0,2.0,Raiders
2,Kick Extra Points,The number of extra points made.,PAT,35.0,2.0,14.0,Raiders
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1.0,Raiders
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,28.0,1.0,9.0,Raiders
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,28.0,1.0,9.0,Raiders
6,Return Touchdowns,The total number of return touchdowns.,RET,3.0,,6.0,Raiders
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,12.0,,22.0,Raiders
8,Total Points,The number of total points scored.,PTS,395.0,22.0,12.0,Raiders
9,Total Points Per Game,The number of points scored per game.,TP/G,23.235,,12.0,Raiders
10,Total Touchdowns,The number of touchdowns scored in total.,TD,43.0,2.0,12.0,Raiders
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,0.0,,26.0,Raiders
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,0.0,,21.0,Raiders
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,0.0,,21.0,Raiders
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0.0,,14.0,Raiders
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0,Raiders
0,Total 1st downs,The the number of first downs.,CMP,343.0,20.0,16.0,Raiders
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,193.0,11.0,13.0,Raiders
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,28.0,1.0,14.0,Raiders
3,First Downs Per Game,The average number of first downs per game.,FD/G,20.176,20.0,16.0,Raiders
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,122.0,7.0,12.0,Raiders
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,24.0,1.0,14.0,Raiders
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,54.167,40.19599914550781,9.0,Raiders
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,13.0,,9.0,Raiders
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,4.0,,32.0,Raiders
9,Possession Time Seconds,The total time of possession in seconds.,POSS,31372.0,1845.0,7.0,Raiders
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,62.31,,26.0,Raiders
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,36.17,,5.0,Raiders
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,82.98,47.0,16.0,Raiders
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,46.81,,26.0,Raiders
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,208.0,12.0,24.0,Raiders
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,39.904,39.54100036621094,16.0,Raiders
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,83.0,4.0,17.0,Raiders
17,Total Giveaways,The total number of giveaways.,TGV,21.0,,20.0,Raiders
18,Total Penalties,The total number of total penalties.,TPEN,113.0,6.0,2.0,Raiders
19,Total Penalty Yards,The total number of penalty yards.,TPY,932.0,54.0,3.0,Raiders
20,Total Takeaways,The total number of takeaways.,TT,13.0,,32.0,Raiders
21,Total Drives,The total number of drives.,D,0.0,,1.0,Raiders
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,-8.0,,30.0,Raiders
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,16.0,1.0,25.0,Rams
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,8.0,,20.0,Rams
2,Forced Fumbles,The total number of forced fumbles.,FF,11.0,,44.0,Rams
3,Fumbles Recovered,The number of fumbles recovered.,FR,6.0,,28.0,Rams
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,0.0,,15.0,Rams
5,Games Played,Games Played,GP,17.0,,1.0,Rams
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1.0,Rams
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5.0,Rams
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,0.0,,15.0,Rams
0,Average Gain,The average gained yards per position.,AG,506.263,,30.0,Rams
1,Completion Percentage,The percentage of completed passes.,CMP%,65.348,64.37699890136719,13.0,Rams
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,347.0,20.0,21.0,Rams
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4176.0,,26.0,Rams
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.825,2.7990000247955322,25.0,Rams
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,15.0,,22.0,Rams
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,75.0,33.0,7.0,Rams
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1.0,Rams
8,Net Passing Yards,The amount of net passing yards.,NYDS,3108.0,182.0,27.0,Rams
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,182.82353,,27.0,Rams
10,Net Total Yards,The amount of net total yards.,NTYDS,4769.0,,32.0,Rams
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,280.52942,,32.0,Rams
12,Passing Attempts,The number of times a pass is attempted.,ATT,531.0,31.0,24.0,Rams
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,38.0,,28.0,Rams
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,181.0,10.0,22.0,Rams
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,9.0,,12.0,Rams
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,6.0,,5.0,Rams
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,3.013,,28.0,Rams
18,Passing Touchdowns,The total number of passing touchdowns.,TD,16.0,,28.0,Rams
19,Passing Yards,The total passing yards.,YDS,3506.0,206.0,26.0,Rams
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1798.0,,16.0,Rams
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,1708.0,,28.0,Rams
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,206.235,,26.0,Rams
23,Passer Rating,Passer Rating,RTG,82.325,71.74749755859375,79.0,Rams
24,Total Sacks,The total number of sacks.,SACK,59.0,3.0,3.0,Rams
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,398.0,23.0,30.0,Rams
26,Net Passing Attempts,Net Passing Attempts.,NATT,590.0,34.0,27.0,Rams
27,Team Games Played,The amount of games played.,TGP,17.0,,1.0,Rams
28,Total Offensive Plays,The number of total offensive plays.,TOP,1001.0,58.0,52.0,Rams
29,Total Points,The number of total points scored.,PTS,307.0,18.0,27.0,Rams
30,Total Points Per Game,The number of points scored per game.,TP,18.059,,27.0,Rams
31,Total Touchdowns,The number of touchdowns scored in total.,TD,32.0,1.0,26.0,Rams
32,Total Yards,The number of yards accumulated in total.,TYDS,5167.0,280.0,31.0,Rams
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1.0,Rams
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1.0,Rams
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,0.0,,21.0,Rams
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,0.0,,30.0,Rams
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Rams
38,Yards Per Completion,The average number of yards per pass completion.,CMP,10.104,9.13599967956543,26.0,Rams
39,Yards Per Game,The average number of yards per game.,YDS/G,303.941,,31.0,Rams
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,6.603,6.64300012588501,24.0,Rams
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,5.2677966101694915,5.352941176470588,1.0,Rams
42,Quarterback Rating,Quarterback Rating.,RAT,82.325,71.74749755859375,79.0,Rams
0,Average Gain,The average gained yards per position.,AG,506.263,,30.0,Rams
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2066.0,,25.0,Rams
2,Long Rushing,The amount of yards for the longest run.,LNG,42.0,18.0,26.0,Rams
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0,Rams
4,Net Total Yards,The amount of total net yards.,NTYDS,4769.0,,32.0,Rams
5,Net Yards Per Game,The total net yards gained per game.,CMP,280.52942,,32.0,Rams
6,Rushing Attempts,The total number of attempted rushes.,ATT,411.0,24.0,25.0,Rams
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,8.0,,23.0,Rams
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,89.0,5.0,30.0,Rams
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,8.0,,23.0,Rams
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,2.0,,13.0,Rams
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,15.0,,15.0,Rams
12,Rushing Yards,The total rushing yards.,YDS,1661.0,97.0,27.0,Rams
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,97.706,,27.0,Rams
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,51.0,,17.0,Rams
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-130.0,,31.0,Rams
16,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Rams
17,Total Offensive Plays,The number of offenseive plays run.,OP,1001.0,58.0,52.0,Rams
18,Total Points,The number of total points earned.,PTS,307.0,18.0,27.0,Rams
19,Total Points Per Game,The average number of points scored per game.,TP/G,18.059,,27.0,Rams
20,Total Touchdowns,The number of total Touchdowns scored.,TD,32.0,1.0,26.0,Rams
21,Total Yards,The number of total yards gained.,TYDS,5167.0,280.0,31.0,Rams
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0,Rams
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1.0,Rams
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,0.0,,14.0,Rams
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,0.0,,20.0,Rams
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Rams
27,Yards Per Game,The average number of yards per game.,YDS/G,303.941,,31.0,Rams
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.041,3.9070000648498535,27.0,Rams
0,Average Gain,The average gained yards per position.,AG,506.263,,30.0,Rams
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,5801.0,,26.0,Rams
2,Long Reception,The amount of yards for the longest reception.,LNG,75.0,33.0,7.0,Rams
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0,Rams
4,Net Total Yards,The amount of total net yards.,NTYDS,4769.0,,32.0,Rams
5,Net Yards Per Game,The total net yards gained per game.,CMP,280.52942,,32.0,Rams
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,38.0,,28.0,Rams
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,181.0,,22.0,Rams
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,9.0,,12.0,Rams
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,6.0,,5.0,Rams
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,517.0,30.0,22.0,Rams
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,16.0,,28.0,Rams
12,Receiving Yards,The total receiving yards.,YDS,3506.0,206.0,26.0,Rams
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1798.0,105.0,17.0,Rams
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1708.0,,28.0,Rams
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,206.235,,26.0,Rams
16,Receptions,The total number of receptions.,REC,347.0,20.0,21.0,Rams
17,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Rams
18,Total Offensive Plays,The number of offenseive plays run.,OP,1001.0,58.0,52.0,Rams
19,Total Points,The number of total points earned.,PTS,307.0,18.0,27.0,Rams
20,Total Points Per Game,The average number of points scored per game.,TP/G,18.059,,27.0,Rams
21,Total Touchdowns,The number of total Touchdowns scored.,TD,32.0,1.0,26.0,Rams
22,Total Yards,The number of total yards gained.,TYDS,5167.0,280.0,31.0,Rams
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0,Rams
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1.0,Rams
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,0.0,,21.0,Rams
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,0.0,,30.0,Rams
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Rams
28,Yards Per Game,The average number of yards per game.,YDS/G,303.941,,31.0,Rams
29,Yards Per Reception,The average number of yards per reception.,AVG,10.104,10.427000045776367,26.0,Rams
0,Assist Tackles,The number of assists on tackles.,AST,450.0,25.0,23.0,Rams
1,Average Interception Yards,The average number of return yards per interception.,AVG,15.0,11.194000244140625,12.0,Rams
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.579,6.590000152587891,17.0,Rams
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,7.067,,14.0,Rams
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2.0,Rams
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7.0,Rams
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,1.0,,17.0,Rams
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1.0,Rams
8,Kicks Blocked,The number of times a kick was blocked.,KB,1.0,,13.0,Rams
9,Long Interception,The amount of yards of the longest interception return.,LNG,100.0,,1.0,Rams
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6.0,Rams
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1.0,Rams
12,Passes Defended,The total number of passes defended.,PD,58.0,3.0,30.0,Rams
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1.0,Rams
14,Sacks,The total number of sacks.,SACK,38.0,2.234999895095825,21.0,Rams
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,250.0,14.706000328063965,21.0,Rams
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10.0,Rams
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,760.0,40.0,15.0,Rams
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,30.0,3.0,24.0,Rams
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,212.0,,21.0,Rams
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,68.0,4.0,25.0,Rams
21,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Rams
22,Total Tackles,The total number of tackles.,TOT,1210.0,65.0,38.0,Rams
23,Yards Allowed,Yards allowed,YA,0.0,,1.0,Rams
24,Points Allowed,Points allowed,PA,0.0,,1.0,Rams
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0,Rams
0,Interceptions,The total number of interceptions.,INT,16.0,,7.0,Rams
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1.0,,11.0,Rams
2,Interception Yards,The number of yards gained after an interception.,YDS,240.0,14.0,6.0,Rams
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,20.091,17.948999404907227,1.0,Rams
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,62.5,11.994999885559082,3.0,Rams
2,Extra Point Attempts,The number of extra point attempts.,XPA,32.0,1.0,3.0,Rams
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,96.875,88.23500061035156,2.0,Rams
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1.0,Rams
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1.0,Rams
6,Extra Points Made,The number of extra point attempts made.,XPM,31.0,1.0,3.0,Rams
7,Fair Catches,The number of fair catches.,FC,0.0,,1.0,Rams
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,9.878000259399414,1.0,Rams
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,30.0,1.0,4.0,Rams
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,1.0,Rams
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,9.0,,2.0,Rams
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,8.0,,3.0,Rams
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,4.0,,4.0,Rams
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,8.0,,1.0,Rams
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,1.0,,1.0,Rams
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,9.0,,2.0,Rams
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1165.0,68.0,3.0,Rams
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,93.333,88.23500061035156,1.0,Rams
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,0.0,,1.0,Rams
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,0.0,,1.0,Rams
21,Field Goal Made,The number of times a field goal is made.,FGM,28.0,1.0,2.0,Rams
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,1.0,Rams
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,9.0,,2.0,Rams
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,8.0,,3.0,Rams
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,4.0,,3.0,Rams
